Sample ID	Crop	Taxonomy	Level of improvement	"Country, State"	Region
AGG47538CHIC3-B00001-1-69	Chickpea	Cicer arietinum	Landrace	Azerbaijan	Other
AGG47539CHIC3-B00001-1-70	Chickpea	Cicer arietinum	Landrace	Azerbaijan	Other
AGG47540CHIC3-B00001-1-71	Chickpea	Cicer arietinum	Landrace	Azerbaijan	Other
AGG47548CHIC3-B00001-1-72	Chickpea	Cicer arietinum	Landrace	Russian Federation	Eastern Europe
AGG47550CHIC3-B00001-1-73	Chickpea	Cicer arietinum	Landrace	Azerbaijan	Other
AGG47551CHIC3-B00001-1-74	Chickpea	Cicer arietinum	Landrace	Azerbaijan	Other
AGG47556CHIC2-B00001-1-75	Chickpea	Cicer arietinum	Landrace	"Russian Federation, Krasnodar"	Eastern Europe
AGG47562CHIC2-B00001-1-76	Chickpea	Cicer arietinum	Landrace	"Uzbekistan, Surkhondaryo"	Central Asia
AGG47567CHIC2-B00001-1-77	Chickpea	Cicer arietinum	Landrace	Azerbaijan	Other
AGG47579CHIC2-B00001-1-78	Chickpea	Cicer arietinum	Landrace	Ethiopia	Africa
AGG47581CHIC2-B00001-1-79	Chickpea	Cicer arietinum	Landrace	Algeria	Africa
AGG47659CHIC2-B00001-1-80	Chickpea	Cicer arietinum	Landrace	Jordan	Middle East
AGG47660CHIC2-B00001-1-81	Chickpea	Cicer arietinum	Landrace	Colombia	Americas
AGG47661CHIC2-B00001-1-82	Chickpea	Cicer arietinum	Landrace	"Mexico, Mexico"	Americas
AGG47662CHIC2-B00001-1-83	Chickpea	Cicer arietinum	Landrace	Ethiopia	Africa
AGG47673CHIC2-B00001-1-84	Chickpea	Cicer arietinum	Landrace	Egypt	Africa
AGG47712CHIC3-B00001-1-85	Chickpea	Cicer arietinum	Landrace	Mexico	Americas
AGG47714CHIC2-B00001-1-86	Chickpea	Cicer arietinum	Landrace	Azerbaijan	Other
AGG47719CHIC2-B00001-1-87	Chickpea	Cicer arietinum	Landrace	Azerbaijan	Other
AGG47720CHIC2-B00001-1-88	Chickpea	Cicer arietinum	Landrace	Azerbaijan	Other
AGG47742CHIC2-B00001-1-90	Chickpea	Cicer arietinum	Landrace	Portugal	Western Europe
AGG47744CHIC2-B00001-1-91	Chickpea	Cicer arietinum	Landrace	Portugal	Western Europe
AGG47747CHIC2-B00001-1-92	Chickpea	Cicer arietinum	Landrace	Portugal	Western Europe
AGG47748CHIC2-B00001-1-93	Chickpea	Cicer arietinum	Landrace	Portugal	Western Europe
